Protein_ID,Sequence_Length,Molecular_Weight_kDa,Isoelectric_Point,Hydrophobicity,Secondary_Structure,Buffer_Type,Precipitant_Type,Precipitant_Concentration_%,pH,Temperature_C,Crystallization_Method,Crystallized
P12085,339,137.19,7.79,0.693,Beta,Citrate,Ammonium sulfate,11.22,6.6,4,Free interface diffusion,0
P12086,504,133.33,8.7,0.764,Mixed,HEPES,PEG 3350,12.18,5.9,20,Vapor diffusion,1
P12087,892,45.85,5.39,-0.094,Mixed,Phosphate,PEG 3350,31.34,7.4,20,Microbatch,0
P12088,720,98.31,8.19,0.051,Beta,Citrate,Ethanol,29.34,4.1,37,Hanging-drop,0
P12089,177,62.09,4.39,-0.152,Mixed,Phosphate,Ethanol,25.42,4.5,4,Free interface diffusion,0
P12090,751,81.2,6.99,0.48,Mixed,HEPES,MPD,8.56,5.0,20,Sitting-drop,1
P12091,958,85.43,6.01,0.184,Beta,HEPES,MPD,10.39,9.4,25,Sitting-drop,0
P12092,592,62.47,7.87,-0.861,Alpha,Phosphate,Ammonium sulfate,14.01,5.6,20,Batch under oil,0
P12093,947,72.26,9.33,-0.727,Beta,Phosphate,Ethanol,34.08,6.8,37,Vapor diffusion,0
P12094,408,35.21,4.75,-0.615,Alpha,HEPES,Ammonium sulfate,30.28,7.1,25,Microbatch,0
P12095,576,93.11,6.7,0.341,Beta,HEPES,MPD,37.02,4.1,25,Batch under oil,0
P12096,362,115.05,6.54,-0.78,Alpha,Phosphate,PEG 3350,6.19,4.4,20,Free interface diffusion,0
P12097,124,67.31,5.94,0.082,Alpha,Phosphate,Ammonium sulfate,33.74,4.9,37,Counter-diffusion,0
P12098,595,146.76,6.88,0.682,Beta,Tris,MPD,5.84,5.2,20,Dialysis,0
P12099,920,13.3,9.28,0.895,Mixed,Phosphate,PEG 3350,28.29,4.4,20,Sitting-drop,1
P12100,245,90.43,9.84,-0.144,Beta,Citrate,MPD,27.75,7.6,37,Counter-diffusion,0
P12101,892,89.62,4.02,0.067,Alpha,Phosphate,MPD,14.38,4.7,4,Sitting-drop,0
P12102,78,10.26,8.43,0.663,Alpha,Citrate,Ethanol,31.21,8.9,4,Microbatch,0
P12103,755,37.56,7.69,0.871,Alpha,Tris,PEG 3350,19.78,6.8,20,Vapor diffusion,1
P12104,65,136.3,9.97,-0.22,Beta,Tris,Ethanol,27.17,5.0,4,Free interface diffusion,0
P12105,472,83.95,4.54,-0.294,Alpha,Tris,MPD,27.06,5.3,25,Microbatch,0
P12106,638,68.28,8.87,-0.098,Mixed,Phosphate,MPD,35.85,7.6,37,Dialysis,1
P12107,854,65.25,9.6,-0.492,Mixed,Tris,Ammonium sulfate,28.6,4.6,4,Sitting-drop,1
P12108,642,133.78,9.47,0.719,Mixed,Tris,MPD,28.47,4.2,37,Hanging-drop,1
P12109,454,58.22,7.36,-0.364,Beta,Citrate,Ammonium sulfate,25.88,8.4,4,Hanging-drop,0
P12110,989,129.58,5.97,-0.101,Mixed,Phosphate,Ammonium sulfate,8.51,6.7,20,Hanging-drop,0
P12111,685,49.83,7.84,-0.36,Beta,Tris,PEG 3350,15.54,8.7,20,Microbatch,0
P12112,580,82.07,5.84,-0.762,Alpha,Citrate,Ethanol,21.08,9.2,37,Dialysis,0
P12113,663,25.85,6.47,0.213,Beta,Citrate,Ammonium sulfate,13.76,6.5,37,Hanging-drop,0
P12114,953,124.63,6.67,0.175,Mixed,Phosphate,MPD,10.8,5.7,25,Sitting-drop,0
P12115,126,111.72,5.81,-0.41,Beta,HEPES,MPD,22.91,6.0,20,Free interface diffusion,1
P12116,278,81.86,6.05,-0.937,Beta,HEPES,PEG 3350,34.23,8.9,20,Microbatch,0
P12117,346,8.76,4.04,0.873,Beta,Phosphate,PEG 3350,27.19,9.5,25,Dialysis,0
P12118,559,74.78,5.78,-0.289,Beta,HEPES,PEG 3350,29.31,6.1,25,Dialysis,1
P12119,764,37.65,6.83,0.078,Alpha,Tris,Ammonium sulfate,9.95,9.3,25,Hanging-drop,0
P12120,622,64.94,5.04,-0.713,Beta,Tris,PEG 3350,32.91,6.8,25,Hanging-drop,0
P12121,587,129.18,8.83,-0.498,Beta,Phosphate,MPD,8.88,4.2,4,Sitting-drop,0
P12122,632,116.59,7.23,-0.129,Beta,HEPES,Ethanol,14.87,5.1,37,Dialysis,0
P12123,664,40.08,8.76,0.124,Alpha,Tris,MPD,35.69,6.1,20,Free interface diffusion,0
P12124,375,147.82,4.77,0.708,Alpha,HEPES,Ethanol,37.26,5.9,25,Dialysis,0
P12125,412,135.97,8.92,-0.419,Alpha,Citrate,MPD,8.07,8.5,25,Vapor diffusion,0
P12126,718,81.66,9.75,0.744,Beta,Citrate,Ammonium sulfate,10.67,8.3,37,Batch under oil,0
P12127,924,81.87,6.11,-0.083,Beta,Phosphate,PEG 3350,17.54,4.7,25,Microbatch,0
P12128,408,135.68,5.7,-0.135,Alpha,Citrate,MPD,30.08,4.3,20,Microbatch,0
P12129,755,97.24,7.88,-0.207,Beta,Citrate,MPD,10.22,7.9,37,Dialysis,0
P12130,836,82.82,7.82,0.772,Beta,HEPES,MPD,10.42,6.3,4,Hanging-drop,0
P12131,373,113.63,4.67,-0.498,Alpha,Citrate,Ammonium sulfate,24.09,4.9,25,Counter-diffusion,0
P12132,747,39.09,9.56,0.715,Alpha,Phosphate,PEG 3350,25.66,4.5,4,Hanging-drop,0
P12133,375,132.36,6.87,-0.822,Mixed,Citrate,Ammonium sulfate,8.08,5.2,4,Hanging-drop,0
P12134,674,82.06,8.59,0.911,Alpha,Tris,MPD,19.18,9.3,4,Batch under oil,0
P12135,874,92.51,6.16,0.006,Alpha,Phosphate,Ammonium sulfate,30.63,4.5,37,Vapor diffusion,0
P12136,214,18.04,5.57,0.998,Alpha,Phosphate,Ethanol,16.95,7.0,20,Hanging-drop,0
P12137,622,49.88,4.67,0.216,Alpha,Phosphate,PEG 3350,13.48,4.1,4,Hanging-drop,0
P12138,653,66.88,5.65,-0.765,Beta,Citrate,Ethanol,9.0,9.0,37,Vapor diffusion,0
P12139,847,65.02,9.96,-0.878,Alpha,Citrate,MPD,21.26,6.8,20,Sitting-drop,1
P12140,504,117.85,7.95,-0.613,Beta,Phosphate,Ethanol,37.9,9.2,37,Batch under oil,0
P12141,202,45.94,8.82,-0.158,Beta,HEPES,MPD,26.49,5.8,4,Free interface diffusion,0
P12142,786,31.41,9.75,0.494,Alpha,Phosphate,PEG 3350,7.33,6.2,37,Dialysis,0
P12143,176,89.48,4.47,-0.999,Alpha,Tris,Ammonium sulfate,14.04,8.1,4,Microbatch,0
P12144,242,94.18,4.99,-0.485,Mixed,Tris,PEG 3350,30.92,9.2,20,Microbatch,0
P12145,676,22.63,9.57,0.175,Beta,Tris,PEG 3350,31.49,4.8,37,Vapor diffusion,0
P12146,823,5.36,7.39,-0.404,Alpha,Tris,Ethanol,18.15,6.2,37,Free interface diffusion,1
P12147,579,138.06,7.81,-0.286,Beta,Phosphate,Ethanol,7.34,9.3,25,Counter-diffusion,0
P12148,59,16.55,6.57,-0.398,Mixed,Phosphate,MPD,23.79,5.8,20,Vapor diffusion,1
P12149,141,135.19,8.89,0.906,Alpha,Phosphate,PEG 3350,30.64,9.2,4,Counter-diffusion,0
P12150,188,62.89,7.1,-0.868,Mixed,Phosphate,MPD,16.61,7.4,4,Dialysis,1
P12151,530,99.69,8.96,0.815,Beta,Phosphate,PEG 3350,32.6,6.6,37,Sitting-drop,0
P12152,498,31.91,9.95,-0.354,Mixed,HEPES,Ammonium sulfate,16.53,5.8,20,Microbatch,1
P12153,382,124.47,7.88,-0.507,Mixed,HEPES,Ethanol,10.91,6.8,37,Counter-diffusion,1
P12154,918,31.13,7.17,0.767,Beta,HEPES,Ethanol,32.96,7.6,37,Microbatch,0
P12155,389,61.04,6.19,-0.426,Beta,Phosphate,MPD,9.68,7.9,37,Counter-diffusion,0
P12156,101,39.51,5.17,0.975,Beta,Citrate,Ethanol,13.55,4.4,25,Sitting-drop,0
P12157,756,126.44,7.94,0.096,Beta,Phosphate,PEG 3350,34.87,7.5,25,Batch under oil,0
P12158,515,129.46,4.38,-0.047,Beta,Tris,PEG 3350,23.3,8.9,4,Free interface diffusion,0
P12159,767,58.94,9.74,0.953,Beta,Phosphate,Ammonium sulfate,10.4,6.3,20,Microbatch,0
P12160,848,49.57,7.89,-0.546,Mixed,Tris,Ethanol,26.55,5.4,4,Dialysis,1
P12161,524,117.17,9.76,0.818,Beta,HEPES,Ethanol,25.51,7.8,25,Dialysis,1
P12162,450,132.38,5.63,0.183,Beta,Tris,Ammonium sulfate,24.29,4.6,37,Microbatch,0
P12163,488,95.48,9.68,0.51,Beta,Phosphate,Ammonium sulfate,16.92,9.1,37,Hanging-drop,0
P12164,927,139.47,7.67,0.164,Beta,Citrate,MPD,19.23,6.8,25,Sitting-drop,1
P12165,654,60.54,8.86,0.237,Alpha,Tris,MPD,31.63,7.6,4,Dialysis,1
P12166,981,27.02,5.07,-0.69,Mixed,Citrate,Ammonium sulfate,37.42,5.9,25,Sitting-drop,0
P12167,971,31.05,7.0,-0.697,Mixed,Phosphate,Ethanol,25.23,6.4,37,Free interface diffusion,1
P12168,870,102.13,7.41,-0.206,Alpha,Phosphate,Ethanol,37.64,7.2,4,Microbatch,0
P12169,706,64.09,6.36,-0.307,Mixed,Tris,Ethanol,11.15,9.4,37,Microbatch,0
P12170,647,27.67,5.52,0.424,Mixed,Tris,Ethanol,15.15,7.9,37,Hanging-drop,1
P12171,558,47.37,9.43,0.446,Beta,HEPES,Ammonium sulfate,34.26,9.1,37,Batch under oil,0
P12172,202,81.94,4.51,0.128,Mixed,Citrate,Ammonium sulfate,38.71,9.3,37,Vapor diffusion,0
P12173,563,22.61,4.92,-0.196,Alpha,Tris,MPD,36.17,8.3,4,Microbatch,0
P12174,552,5.5,5.92,0.354,Mixed,Phosphate,Ammonium sulfate,22.2,4.2,37,Batch under oil,0
P12175,903,138.01,9.52,0.375,Alpha,Tris,Ethanol,33.38,5.5,25,Batch under oil,0
P12176,950,49.2,7.39,0.618,Alpha,Phosphate,Ammonium sulfate,12.04,8.4,20,Hanging-drop,0
P12177,821,37.12,6.24,0.623,Mixed,HEPES,MPD,16.11,4.1,37,Counter-diffusion,1
P12178,725,106.28,6.42,-0.861,Beta,Citrate,Ethanol,39.95,6.7,4,Microbatch,0
P12179,55,128.74,9.03,-0.252,Alpha,Citrate,Ammonium sulfate,11.25,8.2,25,Hanging-drop,0
P12180,549,96.68,4.16,-0.16,Mixed,HEPES,Ammonium sulfate,13.49,9.1,37,Free interface diffusion,0
P12181,710,41.9,4.07,0.694,Mixed,Tris,PEG 3350,30.3,6.4,25,Vapor diffusion,1
P12182,766,129.94,4.28,0.004,Beta,Citrate,Ethanol,28.42,8.6,20,Dialysis,0
P12183,167,79.01,6.82,-0.022,Beta,HEPES,Ethanol,30.13,6.5,37,Sitting-drop,1
P12184,534,60.27,7.49,0.108,Mixed,HEPES,MPD,38.25,4.8,37,Batch under oil,0
P12185,650,92.69,7.75,-0.746,Beta,HEPES,MPD,9.19,6.5,25,Counter-diffusion,0
P12186,715,106.59,8.39,0.131,Alpha,HEPES,MPD,25.22,6.4,37,Free interface diffusion,1
P12187,728,91.11,5.14,0.103,Mixed,HEPES,MPD,14.0,6.9,25,Vapor diffusion,1
P12188,517,138.44,5.57,0.509,Beta,Phosphate,PEG 3350,18.8,9.1,20,Free interface diffusion,0
P12189,210,96.06,5.46,0.268,Mixed,Tris,MPD,16.35,7.4,4,Dialysis,1
P12190,319,132.39,4.9,0.91,Beta,Citrate,PEG 3350,37.57,4.5,25,Dialysis,0
P12191,105,90.11,5.47,-0.84,Alpha,HEPES,MPD,38.12,6.4,4,Microbatch,0
P12192,277,52.8,7.68,0.543,Mixed,Phosphate,Ethanol,22.44,6.5,25,Free interface diffusion,1
P12193,898,82.18,6.2,0.503,Beta,Tris,PEG 3350,30.51,8.5,37,Hanging-drop,0
P12194,198,17.52,8.61,-0.461,Alpha,Tris,Ethanol,12.4,6.8,20,Sitting-drop,1
P12195,95,38.38,7.22,0.397,Alpha,Phosphate,MPD,16.83,6.4,4,Batch under oil,0
P12196,193,116.1,5.27,0.319,Beta,HEPES,MPD,28.04,4.7,25,Hanging-drop,0
P12197,799,100.91,6.8,-0.403,Mixed,Citrate,PEG 3350,28.54,8.3,37,Vapor diffusion,1
P12198,833,29.15,7.56,0.448,Beta,HEPES,MPD,36.81,8.2,4,Hanging-drop,0
P12199,681,68.51,9.2,0.861,Beta,Phosphate,MPD,31.41,5.1,25,Microbatch,0
P12200,389,25.59,9.0,-0.39,Alpha,HEPES,Ethanol,34.49,7.6,37,Counter-diffusion,0
P12201,462,129.09,6.56,0.96,Beta,Citrate,PEG 3350,33.82,4.5,20,Microbatch,0
P12202,781,20.83,7.89,-0.551,Beta,Phosphate,MPD,14.5,7.2,4,Free interface diffusion,0
P12203,569,99.86,5.79,-0.731,Mixed,HEPES,MPD,33.48,7.0,4,Vapor diffusion,1
P12204,393,93.02,7.8,-0.846,Beta,Tris,MPD,12.22,4.7,25,Hanging-drop,0
P12205,436,73.55,9.48,-0.573,Mixed,Phosphate,MPD,5.44,7.6,25,Hanging-drop,0
P12206,522,45.34,7.75,-0.315,Beta,Tris,MPD,26.55,4.5,20,Microbatch,0
P12207,324,63.57,5.82,0.466,Alpha,Citrate,Ethanol,17.75,8.5,25,Counter-diffusion,0
P12208,402,121.93,7.86,-0.856,Beta,Citrate,Ammonium sulfate,28.45,4.8,25,Vapor diffusion,0
P12209,115,115.42,9.42,0.015,Mixed,HEPES,PEG 3350,12.78,6.3,37,Free interface diffusion,1
P12210,128,112.13,4.82,0.037,Mixed,Tris,Ammonium sulfate,13.77,8.7,37,Batch under oil,0
P12211,647,113.72,6.89,-0.544,Beta,Tris,PEG 3350,36.48,4.4,4,Vapor diffusion,0
P12212,685,25.86,5.93,-0.909,Beta,HEPES,MPD,28.27,8.4,37,Free interface diffusion,0
P12213,251,19.37,5.45,-0.55,Beta,Citrate,MPD,8.12,8.1,37,Counter-diffusion,0
P12214,711,129.92,6.38,-0.539,Mixed,Tris,MPD,17.26,5.6,37,Sitting-drop,1
P12215,607,126.39,6.36,0.376,Mixed,Tris,PEG 3350,27.76,8.9,25,Vapor diffusion,1
P12216,162,103.79,5.26,-0.532,Alpha,HEPES,Ethanol,30.08,9.0,25,Dialysis,0
P12217,140,92.86,6.42,-0.319,Beta,Citrate,Ethanol,22.4,8.0,4,Batch under oil,0
P12218,190,58.2,7.8,-0.905,Mixed,HEPES,Ethanol,13.82,8.5,25,Microbatch,0
P12219,338,37.49,4.15,0.248,Mixed,Tris,Ethanol,28.42,4.8,4,Batch under oil,1
P12220,950,101.81,9.94,-0.052,Mixed,HEPES,PEG 3350,7.94,6.4,4,Microbatch,1
P12221,779,137.39,5.78,-0.31,Mixed,HEPES,MPD,32.72,9.3,20,Hanging-drop,0
P12222,638,68.36,7.74,0.406,Alpha,Citrate,MPD,31.45,4.5,25,Dialysis,0
P12223,460,48.97,5.7,0.364,Mixed,HEPES,Ethanol,15.07,6.3,25,Batch under oil,1
P12224,426,44.26,6.36,-0.344,Mixed,Phosphate,PEG 3350,7.13,9.3,4,Counter-diffusion,0
P12225,433,8.44,7.3,0.419,Beta,Phosphate,MPD,8.13,7.2,4,Hanging-drop,0
P12226,895,80.45,7.67,-0.304,Alpha,Phosphate,Ethanol,19.93,4.2,20,Batch under oil,0
P12227,201,148.29,8.62,-0.556,Alpha,Tris,PEG 3350,11.43,8.7,25,Microbatch,0
P12228,884,123.21,8.75,0.44,Alpha,Tris,Ammonium sulfate,20.28,5.8,20,Dialysis,1
P12229,800,135.13,7.11,0.456,Beta,Citrate,MPD,7.0,4.2,25,Batch under oil,0
P12230,676,95.07,4.45,0.732,Alpha,HEPES,Ethanol,20.51,8.6,37,Counter-diffusion,0
P12231,368,74.81,7.35,0.002,Mixed,Citrate,Ethanol,36.59,8.1,4,Batch under oil,0
P12232,418,148.62,6.87,-0.535,Alpha,HEPES,Ethanol,28.74,6.9,25,Microbatch,1
P12233,655,69.84,5.29,0.674,Mixed,Citrate,Ethanol,7.27,6.0,20,Vapor diffusion,1
P12234,609,137.94,4.06,-0.651,Alpha,HEPES,Ethanol,7.95,8.2,25,Batch under oil,0
P12235,752,115.47,5.9,0.877,Alpha,Phosphate,Ammonium sulfate,22.77,7.3,37,Sitting-drop,1
P12236,511,52.99,5.56,-0.387,Mixed,Citrate,PEG 3350,14.23,5.3,25,Microbatch,0
P12237,61,77.94,6.9,-0.962,Beta,HEPES,PEG 3350,20.46,8.8,20,Free interface diffusion,0
P12238,205,60.73,8.57,-0.626,Beta,Phosphate,Ethanol,31.88,6.9,37,Sitting-drop,0
P12239,733,24.75,6.63,-0.17,Beta,Tris,MPD,18.76,8.7,20,Counter-diffusion,0
P12240,526,56.73,9.71,-0.89,Mixed,HEPES,Ammonium sulfate,15.52,4.5,4,Sitting-drop,1
P12241,988,133.9,5.33,-0.181,Mixed,HEPES,Ethanol,36.34,5.3,37,Dialysis,1
P12242,450,114.13,5.33,-0.594,Alpha,HEPES,Ethanol,29.98,5.7,20,Dialysis,1
P12243,857,45.25,7.63,-0.962,Alpha,Citrate,Ethanol,27.21,8.7,37,Dialysis,0
P12244,226,58.35,9.38,-0.402,Mixed,Tris,Ethanol,7.52,8.8,37,Free interface diffusion,0
P12245,390,94.38,8.03,-0.547,Alpha,Citrate,PEG 3350,22.53,8.2,37,Vapor diffusion,0
P12246,106,65.34,8.04,-0.16,Alpha,Tris,MPD,36.32,7.2,4,Dialysis,1
P12247,904,77.94,8.84,0.518,Beta,Citrate,MPD,33.78,6.5,25,Sitting-drop,0
P12248,901,106.23,8.01,0.02,Mixed,HEPES,Ethanol,7.25,4.5,20,Dialysis,1
P12249,497,72.75,8.56,0.536,Beta,HEPES,Ethanol,31.28,7.6,25,Dialysis,1
P12250,252,32.69,9.2,-0.327,Alpha,Citrate,Ethanol,35.58,8.6,20,Vapor diffusion,0
P12251,746,80.48,4.05,-0.974,Alpha,HEPES,Ethanol,13.54,8.7,25,Dialysis,0
P12252,682,56.64,9.31,0.844,Beta,Citrate,Ammonium sulfate,23.23,5.3,37,Free interface diffusion,0
P12253,787,47.16,5.29,-0.371,Mixed,Citrate,MPD,36.0,7.2,37,Sitting-drop,1
P12254,251,52.58,9.47,0.054,Alpha,Tris,Ammonium sulfate,35.82,9.2,20,Hanging-drop,0
P12255,379,68.66,5.6,-0.062,Mixed,HEPES,PEG 3350,19.45,8.7,25,Sitting-drop,1
P12256,412,133.56,6.73,0.166,Beta,HEPES,Ammonium sulfate,22.75,4.9,37,Batch under oil,0
P12257,941,111.44,9.6,0.77,Alpha,HEPES,Ammonium sulfate,8.72,6.2,37,Counter-diffusion,0
P12258,503,101.84,4.66,0.734,Beta,Citrate,Ammonium sulfate,23.7,4.5,4,Counter-diffusion,0
P12259,405,73.33,8.47,0.962,Mixed,Tris,PEG 3350,35.14,8.6,25,Hanging-drop,0
P12260,265,5.27,6.35,0.057,Alpha,HEPES,MPD,11.05,7.3,37,Counter-diffusion,0
P12261,604,54.38,4.14,0.845,Mixed,Phosphate,Ammonium sulfate,21.04,7.9,4,Microbatch,1
P12262,936,122.91,9.63,-0.035,Mixed,Citrate,MPD,27.51,4.9,20,Dialysis,1
P12263,72,61.28,4.71,-0.911,Alpha,HEPES,MPD,6.7,8.0,25,Counter-diffusion,0
P12264,204,86.75,8.64,-0.708,Beta,Tris,PEG 3350,6.28,5.2,25,Sitting-drop,0
P12265,235,34.69,6.31,-0.332,Alpha,Citrate,MPD,34.71,9.4,25,Microbatch,0
P12266,298,137.8,8.86,0.451,Mixed,Citrate,PEG 3350,38.78,8.8,20,Dialysis,0
P12267,798,138.86,8.5,-0.837,Mixed,Citrate,Ammonium sulfate,31.63,4.1,37,Batch under oil,0
P12268,854,26.18,7.8,-0.277,Mixed,Citrate,MPD,38.71,7.7,4,Microbatch,0
P12269,183,110.0,9.64,0.965,Alpha,Phosphate,Ethanol,10.37,5.9,25,Batch under oil,0
P12270,370,15.91,4.59,0.571,Mixed,Tris,Ethanol,35.46,7.8,4,Batch under oil,1
P12271,439,91.79,8.79,0.144,Alpha,Citrate,Ethanol,36.71,5.0,25,Vapor diffusion,0
P12272,483,30.9,8.02,-0.876,Alpha,Citrate,Ammonium sulfate,15.15,5.5,4,Hanging-drop,0
P12273,71,26.13,5.89,-0.971,Mixed,Citrate,MPD,27.69,4.3,20,Microbatch,0
P12274,922,5.6,7.28,-0.79,Mixed,Tris,MPD,15.7,6.0,4,Batch under oil,1
P12275,649,141.42,7.87,-0.346,Mixed,HEPES,MPD,8.83,7.3,20,Microbatch,1
P12276,714,125.24,8.42,0.213,Beta,Phosphate,MPD,33.46,8.8,25,Hanging-drop,0
P12277,174,16.23,5.12,-0.605,Beta,Phosphate,Ethanol,36.71,5.2,37,Counter-diffusion,0
P12278,128,91.91,4.61,-0.898,Beta,Phosphate,Ammonium sulfate,8.85,8.8,25,Microbatch,0
P12279,907,38.77,4.61,-0.818,Mixed,HEPES,Ammonium sulfate,27.69,8.4,37,Batch under oil,1
P12280,100,43.28,5.76,-0.146,Mixed,Tris,Ammonium sulfate,38.99,7.6,25,Dialysis,1
P12281,777,131.75,4.93,0.546,Beta,Tris,MPD,14.56,8.7,25,Dialysis,0
P12282,225,21.58,7.21,0.642,Alpha,Phosphate,MPD,31.28,5.8,25,Vapor diffusion,0
P12283,919,92.22,6.62,-0.418,Beta,Phosphate,PEG 3350,19.43,9.2,4,Microbatch,0
P12284,302,63.18,9.36,0.327,Beta,Citrate,MPD,7.23,5.0,25,Free interface diffusion,0
P12285,295,32.67,8.3,-0.215,Alpha,Tris,MPD,29.49,7.2,37,Batch under oil,1
P12286,788,70.53,5.23,0.945,Beta,HEPES,Ammonium sulfate,13.61,6.6,20,Counter-diffusion,0
P12287,155,141.37,4.27,-0.19,Beta,HEPES,PEG 3350,25.87,8.1,37,Microbatch,0
P12288,242,118.33,8.25,-0.208,Beta,HEPES,PEG 3350,7.47,5.9,20,Batch under oil,0
P12289,365,24.16,9.07,0.003,Alpha,Tris,MPD,9.21,9.1,20,Dialysis,0
P12290,351,128.17,8.21,-0.949,Alpha,Phosphate,Ammonium sulfate,5.2,4.5,20,Vapor diffusion,0
P12291,597,140.93,7.86,-0.164,Beta,Phosphate,MPD,12.62,7.4,4,Microbatch,0
P12292,765,45.16,5.5,0.657,Mixed,Tris,PEG 3350,9.57,4.4,37,Microbatch,0
P12293,983,53.35,6.97,0.224,Beta,Phosphate,PEG 3350,15.28,9.3,4,Dialysis,0
P12294,828,23.31,8.35,0.939,Alpha,Citrate,Ammonium sulfate,12.14,5.1,20,Microbatch,0
P12295,317,55.02,5.16,-0.349,Alpha,Citrate,Ammonium sulfate,14.23,8.3,25,Sitting-drop,0
P12296,219,102.61,6.86,-0.677,Alpha,Citrate,Ethanol,9.51,8.0,4,Vapor diffusion,0
P12297,600,44.46,4.7,0.501,Mixed,Citrate,MPD,11.22,9.4,25,Counter-diffusion,0
P12298,504,5.99,7.18,-0.913,Mixed,Citrate,MPD,14.87,9.1,37,Microbatch,0
P12299,700,54.09,7.44,-0.681,Mixed,Tris,MPD,20.27,8.8,4,Free interface diffusion,1
P12300,341,70.71,7.21,0.014,Beta,HEPES,PEG 3350,14.2,7.5,25,Hanging-drop,0
P12301,613,87.12,6.82,0.507,Alpha,Phosphate,Ammonium sulfate,11.56,6.9,25,Dialysis,0
P12302,848,104.15,7.52,0.202,Beta,Citrate,MPD,27.28,5.1,37,Hanging-drop,0
P12303,850,13.96,9.98,0.99,Beta,Citrate,Ammonium sulfate,17.69,7.5,25,Hanging-drop,0
P12304,190,73.11,7.74,0.31,Mixed,HEPES,Ammonium sulfate,26.12,7.9,25,Dialysis,1
P12305,195,43.62,8.52,0.45,Beta,HEPES,MPD,18.98,9.2,20,Hanging-drop,0
P12306,474,142.46,5.15,0.988,Mixed,HEPES,Ammonium sulfate,19.48,5.6,25,Sitting-drop,1
P12307,363,57.19,7.18,0.185,Mixed,HEPES,Ammonium sulfate,18.17,6.0,20,Vapor diffusion,1
P12308,233,19.52,4.05,0.429,Alpha,Tris,PEG 3350,34.84,6.5,20,Free interface diffusion,0
P12309,713,11.02,4.19,-0.403,Alpha,Phosphate,MPD,18.43,7.8,20,Dialysis,1
P12310,762,43.48,5.93,0.074,Beta,HEPES,MPD,26.05,8.6,25,Vapor diffusion,1
P12311,177,30.94,6.8,0.824,Beta,Phosphate,MPD,21.34,5.4,20,Microbatch,0
P12312,336,99.22,7.45,0.707,Alpha,Citrate,PEG 3350,25.73,7.0,4,Dialysis,1
P12313,872,127.81,9.33,-0.387,Beta,HEPES,Ammonium sulfate,11.85,5.4,20,Dialysis,0
P12314,302,50.32,8.63,-0.286,Alpha,Citrate,MPD,9.16,6.6,20,Counter-diffusion,0
P12315,827,88.78,5.8,0.693,Alpha,Tris,Ethanol,25.67,9.1,20,Dialysis,1
P12316,749,110.89,8.46,-0.431,Mixed,Citrate,Ethanol,39.41,8.9,20,Batch under oil,0
P12317,435,62.78,7.3,0.775,Alpha,Tris,PEG 3350,14.03,6.5,20,Free interface diffusion,0
P12318,279,14.62,8.68,0.548,Alpha,Citrate,MPD,5.05,6.0,20,Free interface diffusion,0
P12319,320,38.23,6.47,-0.695,Mixed,Phosphate,Ammonium sulfate,36.95,7.0,37,Microbatch,0
P12320,820,133.04,4.55,0.44,Mixed,Tris,PEG 3350,9.61,8.0,37,Batch under oil,1
P12321,860,124.55,7.71,0.669,Mixed,HEPES,Ammonium sulfate,35.35,4.6,4,Vapor diffusion,1
P12322,464,17.55,7.34,-0.711,Mixed,Tris,Ammonium sulfate,23.0,5.2,37,Sitting-drop,1
P12323,247,37.47,9.72,-0.085,Alpha,HEPES,Ethanol,11.26,4.7,37,Dialysis,0
P12324,372,116.53,4.97,0.725,Alpha,Tris,MPD,11.89,4.1,37,Counter-diffusion,0
P12325,105,75.46,7.94,-0.603,Alpha,HEPES,Ammonium sulfate,23.45,8.3,37,Free interface diffusion,0
P12326,880,115.2,6.84,-0.102,Alpha,Tris,Ammonium sulfate,32.81,6.1,37,Microbatch,0
P12327,252,35.61,6.27,0.226,Alpha,Citrate,Ammonium sulfate,33.37,8.2,4,Sitting-drop,0
P12328,832,143.14,8.77,-0.805,Alpha,Citrate,Ammonium sulfate,13.33,6.7,37,Dialysis,0
P12329,670,118.62,8.86,-0.576,Mixed,Citrate,PEG 3350,29.88,7.8,4,Microbatch,1
P12330,677,33.63,8.29,-0.067,Alpha,HEPES,Ammonium sulfate,21.79,6.7,4,Batch under oil,1
P12331,653,85.98,4.5,-0.253,Mixed,Citrate,Ethanol,26.71,6.7,25,Microbatch,1
P12332,187,21.4,6.07,-0.35,Mixed,Phosphate,PEG 3350,9.54,8.9,4,Vapor diffusion,0
P12333,471,57.41,4.28,-0.947,Alpha,Phosphate,Ethanol,20.2,7.5,4,Microbatch,0
P12334,864,100.65,6.06,0.856,Mixed,Citrate,Ammonium sulfate,9.31,4.6,37,Free interface diffusion,0
P12335,106,52.87,7.89,0.743,Alpha,Tris,MPD,22.59,7.1,4,Batch under oil,1
P12336,611,100.23,7.11,-0.215,Beta,Citrate,Ethanol,7.15,4.8,20,Hanging-drop,0
P12337,120,40.49,8.22,-0.637,Mixed,HEPES,MPD,9.68,7.2,4,Dialysis,1
P12338,960,109.57,7.31,-0.862,Beta,HEPES,PEG 3350,16.38,7.6,4,Hanging-drop,1
P12339,963,57.14,7.33,-0.754,Mixed,Phosphate,Ethanol,22.89,5.1,37,Sitting-drop,1
P12340,643,119.62,7.07,0.204,Alpha,Tris,Ammonium sulfate,9.01,4.9,25,Vapor diffusion,0
